borrower_type,monthly_inflow,upi_tx_count_monthly,upi_debit_to_credit_ratio,cashflow_volatility,utility_payment_delay_days,telecom_recharge_regularity,gst_filing_punctuality,ecommerce_cancellation_rate,mobility_activity_score,is_default
gig_worker,12785.53,40,0.772,0.358,4,0.897,0.0,0.152,74.0,0
freelancer,15327.55,41,0.614,0.241,4,0.821,0.0,0.302,43.2,0
kirana_merchant,32676.44,51,0.757,0.412,2,0.99,0.484,0.259,59.5,0
kirana_merchant,14958.92,43,0.986,0.548,3,0.911,0.755,0.279,25.0,0
gig_worker,46925.53,44,1.02,0.398,4,0.486,0.0,0.159,60.5,1
gig_worker,25963.31,51,0.604,0.598,2,0.714,0.0,0.177,80.1,0
gig_worker,28079.56,45,0.604,0.63,3,0.71,0.0,0.297,80.1,0
freelancer,23407.54,56,0.673,0.178,1,0.953,0.0,0.187,48.7,0
kirana_merchant,39593.65,45,1.036,0.658,1,0.338,0.744,0.216,83.4,0
kirana_merchant,39798.32,41,0.835,0.82,5,0.553,0.141,0.298,25.0,1
gig_worker,31809.72,44,1.091,0.121,2,0.665,0.0,0.289,62.1,0
freelancer,35681.75,34,1.044,0.541,2,0.205,0.0,0.1,39.1,1
freelancer,24196.3,44,1.045,0.583,5,0.317,0.0,0.214,37.3,1
gig_worker,35281.06,44,0.664,0.668,0,0.718,0.0,0.088,77.3,0
gig_worker,22721.37,45,0.838,0.409,1,0.578,0.0,0.033,94.8,0
gig_worker,26933.22,37,1.097,0.755,1,0.407,0.0,0.054,99.0,1
gig_worker,23451.23,47,0.675,0.532,0,0.351,0.0,0.175,61.5,0
kirana_merchant,21405.23,47,0.887,0.427,7,0.804,0.358,0.313,55.6,0
kirana_merchant,19061.85,40,0.772,0.675,0,0.598,0.228,0.178,67.9,0
gig_worker,33990.8,51,0.794,0.842,1,0.431,0.0,0.062,63.6,0
kirana_merchant,51808.16,43,1.045,0.75,0,0.474,0.088,0.067,48.1,0
gig_worker,48317.59,34,0.894,0.845,1,0.81,0.0,0.225,67.5,0
gig_worker,14353.04,29,0.979,0.313,4,0.5,0.0,0.303,50.2,1
gig_worker,51256.7,48,0.937,0.195,7,0.514,0.0,0.126,61.7,1
kirana_merchant,22946.5,47,0.865,0.527,5,0.613,0.115,0.201,41.5,0
kirana_merchant,36328.82,55,0.996,0.136,1,0.248,0.026,0.314,67.0,0
